ID,Nombre,Edad,Emoción,ClasificaciónEdad
1,Marta,25,Relajado,Joven
2,Lucía,65,Feliz,Adulto Mayor
3,Andrés,65,Amargo,Adulto Mayor
4,Lucía,44,Amargo,Adulto
5,Laura,26,Amargo,Joven
6,Lucía,35,Serio,Joven
7,Laura,64,Relajado,Adulto Mayor
8,Ana,86,Feliz,Adulto Mayor
9,Andrés,11,Triste,Niño
10,Luis,83,Serio,Adulto Mayor
11,Laura,85,Serio,Adulto Mayor
12,Sofía,40,Relajado,Adulto
13,Marta,70,Relajado,Adulto Mayor
14,Marta,16,Amargo,Adolescente
15,Laura,76,Triste,Adulto Mayor
16,Laura,28,Serio,Joven
17,Marta,57,Ansioso,Adulto
18,Ana,69,Triste,Adulto Mayor
19,Carlos,74,Triste,Adulto Mayor
20,Jorge,87,Amargo,Adulto Mayor
21,Pedro,87,Ansioso,Adulto Mayor
22,Sofía,33,Serio,Joven
23,Andrés,50,Ansioso,Adulto
24,Luis,18,Relajado,Adolescente
25,Ana,74,Feliz,Adulto Mayor
26,Laura,13,Triste,Adolescente
27,Carlos,56,Feliz,Adulto
28,Lucía,7,Triste,Niño
29,Lucía,76,Serio,Adulto Mayor
30,Ana,11,Ansioso,Niño
31,Lucía,8,Amargo,Niño
32,Jorge,25,Serio,Joven
33,Ana,68,Feliz,Adulto Mayor
34,Ana,40,Feliz,Adulto
35,Ana,79,Amargo,Adulto Mayor
36,Andrés,37,Amargo,Adulto
37,Jorge,67,Amargo,Adulto Mayor
38,Carlos,31,Triste,Joven
39,Ana,16,Feliz,Adolescente
40,Marta,57,Relajado,Adulto
41,Lucía,66,Amargo,Adulto Mayor
42,Sofía,50,Amargo,Adulto
43,Luis,37,Triste,Adulto
44,Pedro,45,Relajado,Adulto
45,Sofía,6,Ansioso,Niño
46,Pedro,75,Feliz,Adulto Mayor
47,Carlos,5,Amargo,Niño
48,Lucía,25,Serio,Joven
49,Lucía,23,Triste,Joven
50,Marta,66,Triste,Adulto Mayor
51,Lucía,32,Relajado,Joven
52,Laura,6,Serio,Niño
53,Luis,80,Serio,Adulto Mayor
54,Luis,43,Ansioso,Adulto
55,Luis,80,Serio,Adulto Mayor
56,Jorge,17,Amargo,Adolescente
57,Carlos,39,Relajado,Adulto
58,Lucía,35,Ansioso,Joven
59,Laura,63,Amargo,Adulto Mayor
60,Laura,14,Ansioso,Adolescente
61,Pedro,10,Ansioso,Niño
62,Luis,38,Amargo,Adulto
63,Ana,86,Feliz,Adulto Mayor
64,Jorge,15,Serio,Adolescente
65,Luis,30,Feliz,Joven
66,Sofía,89,Ansioso,Adulto Mayor
67,Luis,26,Amargo,Joven
68,Pedro,68,Triste,Adulto Mayor
69,Ana,73,Ansioso,Adulto Mayor
70,Jorge,50,Ansioso,Adulto
71,Carlos,89,Ansioso,Adulto Mayor
72,Carlos,39,Relajado,Adulto
73,Lucía,72,Serio,Adulto Mayor
74,Pedro,49,Relajado,Adulto
75,Ana,86,Relajado,Adulto Mayor
76,Ana,49,Serio,Adulto
77,Jorge,88,Serio,Adulto Mayor
78,Lucía,52,Relajado,Adulto
79,Sofía,69,Amargo,Adulto Mayor
80,Jorge,58,Amargo,Adulto
81,Jorge,36,Feliz,Adulto
82,Laura,13,Serio,Adolescente
83,Laura,75,Triste,Adulto Mayor
84,Laura,78,Serio,Adulto Mayor
85,Laura,52,Amargo,Adulto
86,Pedro,26,Relajado,Joven
87,Jorge,79,Amargo,Adulto Mayor
88,Jorge,39,Relajado,Adulto
89,Luis,67,Ansioso,Adulto Mayor
90,Sofía,51,Serio,Adulto
91,Marta,57,Feliz,Adulto
92,Jorge,53,Feliz,Adulto
93,Marta,89,Relajado,Adulto Mayor
94,Luis,11,Ansioso,Niño
95,Jorge,59,Ansioso,Adulto
96,Jorge,40,Amargo,Adulto
97,Pedro,46,Serio,Adulto
98,Laura,6,Ansioso,Niño
99,Sofía,52,Ansioso,Adulto
100,Jorge,79,Relajado,Adulto Mayor
